title,rating,author,date_published,review_text,Type Of Traveller,Seat Type,Route,Date Flown,Recommended,Aircraft
"""no attempt to provide fresh or hot foo""",3,P Marten,2022-10-25,"just a few years ago flying on ba was enjoyable, but times have changed. these days about five hours on board the plane is no fun at all. the terminal 5 experience still feels classy, and on the way out it felt well staffed and efficient. on board though, it’s just become an experience to be endured. ba’s mean decision to split seats into nicer for the first half of the plane, and nastier for the rest underlines this. there is no entertainment, no magazine. refreshment purchases are brought to the seat after ordering from an app. there is no attempt to provide fresh or hot food on the day, despite the competition being able to do this. is it too much to ask for, when trapped on board for five hours? you get a free tiny bottle of water and a small cereal bar. on the outbound flight the crew collected rubbish just once before landing, but helpfully tied a bag around a toilet door down the back in case anyone wanted to fight their way past and clear things up themselves. recline buttons have been deleted on the seats and the seat pitch feels squeezed. on the return flight, for one reason or another due to ba’s delays from the previous day, we were just under two hours late getting off the plane late in the evening and some passengers couldn’t travel at all because there were not enough crew. the cabin crew were nonetheless distinctly more professional on this flight. altogether, i would say good things if there were any - but it’s hard to think of anything i could recommend ba for; and that is a pity, because it used to be a professional company to deal with and a pleasure worth looking forward to when making european journeys.",Couple Leisure,Economy Class,London to Cairo,2022-10-01,no,A320neo
"""She was attentive, warm, friendly""",10,Adam Kirk,2022-10-15,"this review is specifically about maddie, crew member who took care of us. she was attentive, warm, friendly and nothing was too much trouble. smiling from start to finish. she should be the brand ambassador for ba.",Solo Leisure,Economy Class,London to Tampa,2022-09-01,yes,Boeing 777-200
"""Should be more snacks on board""",4,Elizabeth Vaughan,2022-09-16,not verified |  good flight apart from my seat fabric was coming apart on39j and lack of good leg room. meal was good from singapore. should be more snacks on board. my neighbours passenger charger and headphone socket didn’t work.,Couple Leisure,Economy Class,Berlin to London City,2022-08-01,yes,Boeing 777
"""Hard working crew""",9,Neil Nerva,2022-08-23,"full afternoon flight. ready to fly on time. arrived early. uneventful flight. good service. pre dinner drinks. drink with meal. coffee, drinks available at back. avml meal was tasty. hard working crew on a full flight. audio worked well.",Solo Leisure,Business Class,London to Marrakesh,2022-06-01,no,A320
"""I have not received my refund""",2,Lilian Nelson,2022-07-27,"refund process is non responsive i have been following up on my refund since october, 2021 which is 9 months now. i have contacted the customer service deck and sent mails to [email protected] several times and all they tell me is it’s been processed. british airways customer service is bad and needs to be worked on. till today i have not received my refund. i am just wondering what is happening!",Business,Business Class,London to Malaga,2022-07-01,no,A321
"""wonderful BA representative""",10,Matthew Sheedy,2022-07-12,not verified |  flight delayed slightly due to luggage conveyor breaking down. luggage never made it to toronto and we filed a lost baggage report. within 24 hours our luggage arrived in toronto and a wonderful ba representative went down into the baggage loading area to retrieve it for me. would definitely give ba a 5 star rating and have them again.,Family Leisure,Business Class,Belfast to London,2022-06-01,no,A350
"""Really not fair to just take our money!""",1,Michael Ganey,2022-06-28,"not verified |  booked a flight from london to paris 2020. trip was cancelled due to covid lockdowns. we asked ba staff for refund, told cannot do but will issue vouchers. we stated no good for two elderly people from australia as would not know when we can travel. informed no other option and silly vouchers sent. now they are running out of date and unusable! have been asking for two years for refund! many many emails. they keep saying we took vouchers! had no choice. does anyone have any other options re complaints! we would be most grateful. really not fair to just take our money!",Business,Business Class,London to Malaga,2022-06-01,no,A320
"""Right now do not use British Airways""",1,David Stewart,2022-06-20,"not verified |  right now do not use british airways. when booking, person said we would have enough time between the connection flight to final destination, but he was wrong. flight to london was late, we auto missed our flight to edinburgh, and had to wait 9 hours for the next flight. coming back once again flight leaving was late, had to run to get connecting flight, then we sat on tarmac for an hour because luggage had to go on so i thought good, that is probably my luggage. once back in boston luggage did not show up. they said we would get it within 24 hours and we didn't, so far it will be at least 2 days.",Family Leisure,Economy Class,Islamabad to Manchester via Gatwick,2022-04-01,yes,A320
"""crew made the flight outstanding""",10,Christopher Neep,2022-06-03,"outstanding inflight service from the crew. friendly, professional and helpful. the very best of british. even though the departure was delayed due to chaos among ground staff at vancouver, it didn’t matter. the crew made the flight outstanding.",Couple Leisure,Economy Class,Amsterdam to London,2022-05-01,no,Boeing 777-300
"""They actually give me a voucher""",1,R Marton,2022-05-19,"ba says that tickets are flexible and cancellation is free within 24 hrs. that reality is an absolutely miserable alternative. 8 hours after booking, i need to change my flight. i assume i will get a refund like their site says i will - that was apparently a lie. they actually give me a voucher. to request the voucher i have to sign away that i agree to the voucher despite not knowing how much money they will refund me and i might not get it for a week.  i am panicked so i try calling them. of course, calling them does nothing. the hotline says that they are too busy. this happens again and again. so, i give up, submit the request online despite no guarantee of amount or timing. luckily it shows up quickly, and i rebook. then i need to change my booking again. i go to request a voucher again. this time the voucher code doesn't work on the website when i enter it. so here i am needing to rebook with a useless voucher. finally i call the executive class phone line (which i am not a member of) and then eventually pick up and agree to help me. they do some thing on their back end and tell me that they will send the information to their booking department who will contact me in 72 hours.",Solo Leisure,Premium Economy,Dubai to Milan Malpensa via London,2022-05-01,yes,Boeing 777
"""upgrade had been given away to someone else""",2,J Barson,2022-05-04,"i booked a flight to london and paid, months in advance, to upgrade my seat to an isle side exit row (front of the cabin + more legroom). upon check-in, my expensive upgrade had been given away to someone else, and i was left to choose a miserable middle seat near the toilet. i spent an entire afternoon calling customer service. if my call went through at all (the automated system simply hangs up when it decides they are too busy) i was placed on indefinite hold, replete with elevator music and an insincere guarantee that my call mattered. i was greeted by someone with a heavy accent, over a very low quality, hard to hear line (i am 32 and not deaf). sometimes, they would purposely hang up before i said anything. other times, they would purposely hang up after i stated my plight. if i managed to persist through all of that, for hours on end, they would hang up purposely after ""needing"" to put me on hold once more to ""speak with their supervisor."" in the end, ba managed to swindle me for hundreds of dollars, and i booked with another airline on principle.",Solo Leisure,Business Class,Chicago to London,2022-03-01,yes,Boeing 787
"""been an appalling experience""",1,Christy Chang,2022-04-16,"i had an incredible rude check in staff at the british airways counter in nice on 16th april 2022. zero empathy towards me a struggling customer. second situation happened when we arrived into nice terminal 1 on ba0262 13 april where my luggage did not make it on the same flight as me and had to put my details down for delivery. when our luggage arrived at nice airport the day after and received an email from the avia partner lost and found (british airways partner) at 13:14pm informing us that our luggage has now arrived in nice. after multiple emails back and forth with emphasis on we were strongly expressing that i did not have clothes or shoes to wear and that we only had 3 short days in monaco, it was vital we received the luggage asap, the lady replied “if it is so important why don’t you come and pick it up here at the airport or send your driver to pick it up” despite the fact that a proper delivery address was supplied to them from the very beginning. this has been an appalling experience.",Family Leisure,Business Class,London to Tokyo,2022-06-01,no,Boeing 777-200
"""a virtually flawless experience""",9,David Stones,2022-04-06,"not verified |  ba is getting a real bashing on this forum and i thought i'd buck the trend and report a virtually flawless experience of a short hop from edi to lcy on ba8703 this monday. easy check in, decent lounge experience except the very amiable staff were still forced to serve from behind barriers, very clean plane which left on time, ridiculous amount of legroom in 2d (it is a bulkhead seat but with lots more space than 1a or c), reasonable cooked breakfast served by a very attentive and capable csm and arrived 15 mins earlier than scheduled. what's not to like, which is my overall experience with the vast majority of my ba experiences over the last 25 years. anyway i thought it would be nice to read a positive review for once.",Couple Leisure,Business Class,Cape Town to London Heathrow,2022-03-01,no,Boeing 777
"""the limited food served was bland""",2,Edwin Roelink,2022-03-31,"not verified |  our main complaint is that the limited food served was bland, barely edible, and by far the worst we’ve ever experienced compared to other airlines used in the past. the staff were friendly enough but they were rarely seen between meals. no snacks were offered during the flight. this is so different to every other airline we have used in the past. after 14 hours of flying the breakfast offered was a tiny, cold, stale, ham and cheese roll and a small plain yoghurt with a couple of oreos. if ever you decide to fly with them i suggest that you bring your own food. we certainly will on our return flight but will never use british airways again.",Family Leisure,Economy Class,Dublin to Dubai via London,2022-03-01,no,A350
"""Ryanair has more finesse""",1,S James,2022-03-17,"one would think that the number of crises ba incurs they would have had emergency planning down to a fine art. i last flew with ba may 2017 - yes, the weekend of the last but one it crisis. i swore never again but ended up purchasing a ticket aug 2018 to bologna - ba cancelled the flight. then covid hit so ended up with a voucher. fast forward to feb 26th, 2022. received a message 5.30am 30mins from lhr that that my flight was cancelled. arrived at the airport with everyone else just wandering and seeking answers. the staff that were there either told you to go online - a bit difficult as the ba systems were down or ring ba. ha ha or go home - not very helpful if you live two hours from lhr. by some miracle the app sprung into life, and i managed to get one of the last 10 seats on the evening flight. sat in arrivals as there was a coffee shop - soon ran out of seats. by 12.00 midday most of us were trying to get airside to use lounges but no one was allowed in departures until two hours prior to your flight supposedly because of crowds. pointed out ba should have provided refreshments - told to put a claim in. eventually got to departures and made it through security. ba customer services (note the oxymoron) - had a consistent queue of about 20 people as ba were still cancelling/rearranging flights for passengers who were airside. boarded flight 45mins late. sat on tarmac as the pilot told us the delay was them trying to 'reconcile' luggage. when we took off given one very small bottle of water and a cereal bar for a five-hour flight they purport to be a top-class airline but in fact ryanair has more finesse. the staff are fine but can be miserable because they are treated so badly and like to remind you that they are doing their best in a difficult situation - well so are the passengers. the aircraft are cramped and worn. i had been reluctant to use egyptair but flew home with them on a new aircraft with a very good entertainment system and was provided with a hot meal and snack for same price as a ba ticket. how on earth can ba justify their prices? the management should be sacked as ultimately they are to blame for the ruination of this airline.",Couple Leisure,Business Class,Lisbon to London,2022-02-01,no,A320
"""this flight was excellent""",9,Christopher Neep,2022-02-28,"outstanding! from the warm, smiling welcome on board, this flight was excellent. the in flight crew were friendly, attentive and very professional. detailed announcements from the flight deck as well. food and wine all very good indeed. the premium economy product on ba is also very good. comfortable seats, foot and leg rests and decent recline. fr superior to any other airline on other atlantic routes.",Solo Leisure,Business Class,Washington to London,2021-12-01,yes,Boeing 787-9
"""such a nice employee""",10,M Peale,2022-02-08,"i had the best experience i have ever had with an airline. our initial flight to dubai was canceled by royal air maroc and we had to find a new flight at the last minute. i found that booking with them was extremely simple. unfortunately, we had to cancel our flight the day of the departure. i called the customer service, waited about 20 minutes before i could speak with someone and within 15 minutes, the flight was canceled and they offered me a full refund. the person on the line was extremely nice, understanding and willing to help us. i had never dealt with such a nice employee from any airline. i got the full refund on my credit card the day after. i usually chose the cheapest flight ticket, regardless of the airline, but from now on, i’ll definitely make sure to check with british airways first.",Business,Economy Class,New York to London,2022-01-01,no,Boeing 737-800
"""very basic generic airline""",1,S Bartan,2022-01-09,"the entertainment selection was sub par, minimal selections and the new releases were  not new releases. my food left something to be desired. two of the seats in our row the earphone jack didn’t work. the plane was either uncomfortably hot or too cold, find a medium temp. just overall a very basic generic airline.",Business,Economy Class,London to St Lucia,2021-12-01,yes,Boeing 777
"""Food and drinks choices and tastes amazing""",9,Andy Lane,2021-12-24,"flew to nashville via chicago in first. excellent check in and security. lounge was good. food and drink choices very good. first cabin on 787 is 8 seats. comfortable seat, entertainment a little clunky. cabin service top banana!! food and drinks choices and tastes amazing for an aircraft. a special call out to stewart tim. a credit to ba.",Family Leisure,Economy Class,Cairo to Portland via London / Seattle,2021-11-01,no,Boeing 777
"""British Airways happy to encourage the spread of Covid""",4,M Edwards,2021-11-27,"british airways seems happy to encourage the spread of covid. took the 7am flight from t5 at heathrow to paris cdg on 22nd november, which was boarded by bus from a remote gate. the bus driver insisted on packing the bus to its maximum possible load, standing by the door and telling customers to squeeze right up and he was not leaving the terminal until the bus was full. the result was that passengers in the bus were packed tight and the maximum facial distancing was about 15cms! a second coach to the aircraft followed just a few minutes later and had about 15 customers on it. it is shameful that ba ground staff exercise no control and did nothing to check the bus boarding process, and whilst the flight was okay, this serves to underline how ba seem happy to disregard any covid-19 safety protocols in the airport environment. in contrast, on recent air france and iberia flights, their ground staff are much more disciplined and actually try to control customers. maybe this underlines the very laissez faire attitude to covid that now prevails in the uk.",Solo Leisure,Economy Class,London to Mexico,2021-10-01,no,A320 Neo
"""their customer service is a shambles""",2,A Merson,2021-11-13,"this whole experience was sickening, over 3.5 grand spent on the holiday and their customer service is a shambles. drop down menu to drop down menu not stating what i wanted to complain about. would not even allow me to add tier points. the flight to london was marred with problems. in london we received an upgrade email to fast track and vip lounges due to amount spent. this never happened and treated as paupers wherever we showed the email. we had to change planes to the other side of the airfield. the resort (riu paradise beach) was riddled with bad food, drugs and bad attitude and when you complained you were fobbed off as they knew there was no ba staff to sound off too. the return journey was a shambles and more delays finally arriving back at manchester completely exhausted and needing another holiday. there is light at the end of this horrid tunnel virgin atlantic have just started the same route from this month. now we all know this is a better option.",Family Leisure,Business Class,London to Larnaca,2021-10-01,yes,A321
"""Who’d have thought BA could ever make Ryanair look like an attractive option""",3,Oliver White,2021-10-21,"not verified |  what has happened to british airways? the whole pre-flight experience now is prehistoric, they appear to have gone back to the 80’s and now make passengers physically queue to manually check in adding hours to the journey not to mention how ridiculous it is to bunch people together in a big slow queue. on the premise it’s due to covid precautions! they are the only airline making passengers do this and they can’t even open all the desks so for 200 passengers they had two check in staff, like the post office in 1980! apart from the aircraft and cabin crew literally everything else about this airline has disintegrated to the point where they’re just not reliable enough to use for business purposes and their attitude towards exec club members and other loyal customers is a disgrace. i’ve chosen and insisted upon ba for business and personal travel for decades and accumulated a lot of air miles, i also have not one but two ba amex companion vouchers that cost me 40k of spending to earn so that tells you how much i’ve supported this airline despite their shocking decline in recent years. in the last year i’ve booked 6 ba flights, 1 personal and 5 business flights for me and two colleagues but after taking my money and wasting my time planning the itineraries, 5 of the 6 have been cancelled forcing me to tear up my plans and pay double for last minute alternatives with other airlines, the personal one to st lucia they cancelled my return 2 days after flying me out forcing me to cancel my holiday and fly back immediately or risk being stuck there for 6 weeks. that cost me my £2500 holiday and they offered nothing by way of compensation! a couple of weeks ago i noticed that one of my amex companion vouchers was apparently going to expire on nov 12th this year so i tried to speak to them. as the world has largely been closed since march 20 i assumed it would be straightforward to extend the voucher to a time there are holiday destinations properly open, not to mention my experiences dealing with routinely cancelled flights and my reluctance to risk a third person on another holiday, but after 2 days going around in circles speaking really bad english to people who have no empathy for me or even live in the same country i finally got through to someone at ba who told me that no they won’t extend the voucher! i’m even a shareholder but after this level of treatment and disrespect i will not spend another penny with this airline, i’m not even going to bother using my second voucher and i’ve cancelled my ba amex. i work in the music business managing tours for bands so i reckon i book 1000 flights a year and my only satisfaction is knowing their attitude has cost them that! roll on the inevitable ba administration but at least somebody else can buy it for cheap and start rebuilding what was once the worlds favourite airline but now the most ridiculed. who’d have thought ba could ever make ryanair look like an attractive option.",Business,Business Class,London to Jersey,2021-09-01,no,A321
"""impressed with their customer service""",9,K Merlin,2021-10-04,the crew at denver airport is top notch! so impressed with their customer service. they were very patient and courteous. thank you all for being amazing.,Family Leisure,Economy Class,Abuja to London,2021-09-01,no,Embraer
"""stupidity of this whole situation""",1,G Bartakovics,2021-09-09,"i think british airways needs to be much clearer about what their covid-19 ""travel flexibility"" really means, because it doesn't pass the common-sense test: i purchased a round-trip business class ticket from new york to-and-from mykonos through london. i traveled there with no problem. the day before my return to new york, though, i took my covid-19 test and learned that i tested positive. i tried to call the airline on the many usless numbers they provide on their website. the recorded message drones on and on about how they have no one to answer the phone because of covid safety and simply says ""therefore we can't answer your call; try again."" no ability to leave a call-back number or a voicemail, etc. for whatever reason the ba website thought that i had bought the ticket through a third-party agent (i did not - i bought it on ba.com) and so wouldnt let me cancel or reschedule the flight on the web site. i called and called over the coming days and could not get through to the london, athens or new york lines. two days later after having 2 negative pcr tests (the most accurate test), i learned i was not positive and so had to buy a new $5000 return flight to the u.s. i've now been calling the ba usa customer service line for nearly a month at least every other day, never to get through. finally did and have been told that the fact that i couldnt get on the flight because of a covid scare counts for nothing. the fact they dont have enough people answering the phone counts for nothing. or that i was unable to change the flight to a few days later on the web site becuase the ticket was mis-booked. they have offered that if i send them a greek doctor's note saying that i was sick, then they'll give me a voucher for a future flight from mykonos to new york. i am speechless at the stupidity of this whole situation.",Couple Leisure,Business Class,London Heathrow to Nice,2021-07-01,no,A330
"""cancelled a flight booked three months ago """,1,T Lang,2021-07-27,they cancelled a flight i booked three months ago for some operational problem at a time where the prices are off the roof. british airways could not give me any alternatives other than refund or a voucher.,Solo Leisure,Economy Class,London to Accra,2021-06-01,yes,A320
"""a thoroughly reassuring, coming out of COVID, experience""",9,David Ellis,2021-05-30,"after sixteen months of being grounded by covid, it felt almost surreal to be back in t5, heading for what to us was essential summer sun in greece. t5 was blissfully quiet, with no queues at check-in or security, and even the galleries south lounge was less frenetic than usual, despite families with kids similarly desperate to escape boris johnson’s bully boy attitude. ordering food and beverages from one’s table seems something worth continuing, avoiding all the wastage of endlessly replenished buffets. the flights was very quiet, with just 30 pax on board, 9 of whom were in club europe. boarding by row also seemed a welcome improvement on the previous ‘groups’. service on the flight was good and the food was of the usual do&co quality. landing was ahead of schedule and we were through passport control in just a few minutes after a quick check of vaccination certificates and the passenger locator form. overall, a thoroughly reassuring, coming out of covid, experience.",Solo Leisure,Economy Class,Sofia to London Heathrow,2020-12-01,no,Boeing 737-800
"""She was an amazing person""",10,Raj Quadros,2021-02-04,"i had travelled to india for an eye surgery, on my flight back to london heathrow i was assisted by a member of the cabin crew madeline thomas. she was an amazing person as she made sure i was feeling okay as i had come back from my surgery and was traveling by myself. she was more then a nurse and took care of my needs like a mom. she also made sure i had eaten my food and stood by next to me as i was feeling awful because i was in lot of pain",Solo Leisure,Economy Class,London to Venice,2020-10-01,yes,Boeing 747
"""refunded my tickets within 2 working days""",10,L Roberts,2020-10-22,"i am extremely pleased with british airways as they refunded my tickets munich-london city-munich within 2 working days in a friendly and professional manner: the difference between british airways and lufthansa is night and day. friendly, professional and prompt are 3 adjectives to describe ba, while lufthansa is best summed up as arrogant, impossible to contact and ignorant. well done and best wishes to all at british airways.",Solo Leisure,Economy Class,London to Frankfurt,2020-04-01,no,A320
"""This is appalling business practice!""",1,Ursula Wingate,2020-06-11,"ba cancelled my flight to lyon, march/april 2020, because of the corona crisis. i could not obtain a refund, as the ba website and telephone service made this impossible, it just sent me round in circles. so i opted for a future travel voucher, as this could be obtained via the website. i have now tried to use the voucher for a flight to munich, and was informed by the website that i have to call ba for this. the silver card member phone number is inaccessible, as ba has reduced telephone access to one number. i have now called this number five times, each time i was told to call at another time, as 'in these difficult times, they had to protect staff'. this is exactly the same message that i received the many times i called for a refund. is ba not honouring their voucher system, trying to fob off customers and keep their money? this is appalling business practice!",Couple Leisure,Economy Class,Los Angeles to Paris via London,2020-03-01,no,A350
"""it definitely lived up to my expectations""",10,Alistair Baker,2020-04-28,"london heathrow to toronto. my wife and i used avios and the ba amex companion voucher to get a very good deal to fly business class on our holiday. i was also excited to fly on an a350 for the first time and it definitely lived up to my expectations. the breakfast buffet in the ba lounge in heathrow t5 was okay not amazing and there was a good range of drinks and comfortable settees. the aircraft felt very clean and fresh and had good mood lighting, very comfortable spacious seats and large high-resolution ife screens. i like the moving map but my wife opted for the movies and was impressed with the selection available. we both enjoyed the food and wines on board and it was a professional and friendly service from the cabin crew. the a350 is a lot quieter than older aircraft like the 747 and 777.",Solo Leisure,Business Class,Nashville to London via Chicago,2020-03-01,no,Boeing 747
"""understand the turmoil caused by Covid-19""",1,K Schale,2020-04-01,"i flew to vancouver mid march to see my mother, then in hospital. three days after arrival my mother passed away and i subsequently needed tochange my return flight to be able to attend her funeral. i tried to manage my booking online, as ba suggest. but, because i had bought a package that included car hire the ba site said i was unable to change this online and i had to call their customer services. i spent over 19 hours hanging on a telephone trying to call the numbers listed online.  i set up conversations facebook and twitter, they went unanswered. on the second day of my telephone ordeal i actually called a different number and spoke to a guy in ‘holidays’ who said he couldn’t help me either but that he would try and add me to the queue for the help line. when this was finally answered after another hour and a half of waiting i managed to blurt out my ref number, nothing else… before that call was disconnected. thankfully the one person i had briefly spoken to in the duty office that night then emailed me back and i was able to have a conversation about my need to change flight. this change took about 10-15 minutes over a few emails. but the person helping me couldn’t extend the car hire because the vehicle had already been collected. the only way this could be managed would be by myself calling the car hire company. but two days previously, when i tried to manage my booking online i was told i couldn’t do this because i had bought a package and that this could only be done by ba. i do totally understand the turmoil caused by covid-19, but never again ba.",Business,Economy Class,Frankfurt to Buenos Aires via London,2019-10-01,no,Boeing 747-400
"""live in a conceited bubble""",2,David Parsons,2020-03-13,"london to paris return group booking cancelled. i know the current coronavirus is causing problems for any airline, but ba appears as usual to have no contingency plans to handle extra number of enquiries and it is proving impossible to speak with them. after the constant it debacles this airline has, surely it is time for heads at the top to roll? cancelled my booking for flight refund online, but they do not return the seat booking fee and you have to do this afterwards. however, the manage booking page wipes all preferences to your booked seat numbers and you cannot complete the form without this information. a 5 year old child could improve upon the user unfriendly app and website that ba currently has, and my patience of being loyal to ba (for over 40 years i might add) has run out. the management of this airline appear to live in a conceited bubble and have no idea what is going on at the front line.",Solo Leisure,Premium Economy,Vancouver to London,2020-02-01,yes,Boeing 747-400
British Airways customer review,3,Joe Merieux,2020-02-27,"i am flying london to seattle in business class in may 2020, and british airways wants around £100 each way for me to choose seats. all other airlines i have encountered allow business class passengers to choose seats at no additional cost. they decided to change my seat ""for operational reasons""s. what could that reason be? the plane is the same. so, ba takes £100 off me for me so that i can choose my seat and then changes my seat - without asking me. what i get is an automated message (the next time i log on to the ba website) to tell me. there is a number i can ring, 40 minutes waiting for the phone to be answered and i give up.",Solo Leisure,Business Class,London Heathrow to Sofia,2019-10-01,yes,A321
"""Arriving late to board""",1,Vahid Etemadmoghadam,2020-02-02,"i was to fly to melbourne from manchester via london and singapore in july 2019. arriving late to board my heathrow flight, the check-in-staff discussed my dilemma with her supervisor. only option being to find my way to heathrow. i somehow managed to get to heathrow in time where only the singapore to melbourne boarding pass was issued. i was told that because manchester to heathrow flight was missed, my heathrow to singapore was cancelled.",Solo Leisure,Economy Class,London Heathrow to Bangkok,2020-01-01,no,Boeing 777-200
"""the service was good""",6,Ishan Pai,2020-01-25,"mumbai to boston via london. my flight with british airways was really good. the catering was excellent on both flights and even the service was good. however, some of the seats have very limited legroom due to the ife box blocking space in front of you. also, ba had misplaced my tennis racket which was checked in. they have a really weird policy that you can't carry your single sports equipment as cabin baggage and instead, you have to check it in. the ground staff was rude at logan airport in boston. also, they took a week to deliver my racket to my house even though it arrived in boston 24 hrs after i had come. even after contacting ba's baggage customer service, they were speaking rudely to me. they always tried to cut my call in like 2 minutes without even listening to my concern. british airways needs to improve their ground experience.",Couple Leisure,Business Class,Johannesburg to Cape Town,2020-01-01,yes,Boeing 737-800
"""offer a kids free zone""",2,JM Dixte,2020-01-17,"london to bangkok. it's not what it used to be but most importantly, it does not deliver what it promises any longer.  disappointing food, outdated and uncomfortable seats, appalling baggage handling at lhr, and  mediocre crew service onboard. the customer service online is just as bad. my most recent experience was early january 2020 when they put me next to a couple with a newborn baby in club world on an overnight flight from lhr to bkk. baby screams, could not sleep and as the cabin was full, they could not move me. the couple was very nice, apologetic and we just had to bear the 12 hours long haul flight together. however, my dealings with customer service was appalling. when is ba going to offer a kids free zone in club world for people who need to work or sleep?",Couple Leisure,Economy Class,London Heathrow to Vancouver,2020-01-01,no,A320
"""staff were incredibly rude and lazy""",3,P Johnsdon,2020-01-07,my partner and i spent christmas in tokyo. the flight over was enjoyable the staff were polite and helpful and it all ran smoothly. our experience back home was completely different. the staff were incredibly rude and lazy. the flight was 12 hours and mid flight my partner asked for a bottle of water. the lady very rudely said she was going the other way and that my partner could head to the back and help herself. my partner headed to the back where there were two more ladies sitting and when requested they pointed to a shelf my partner got the water from. both our tv's stopped working mid flight also for a period of 40 minutes. we asked the staff if they could fix the problem. the lady said she would try while sighing. as 25 year olds deciding on which airline brands to remain loyal to i can tell you british airways will not be it. terrible customer service.,Solo Leisure,Economy Class,Cape Town to Brussels via London,2019-12-01,yes,A320
"""comfort and service superb""",9,Phil McConnell,2019-12-27,"not verified |  sydney to toulouse via singapore / london. boeing 777 and ife ancient, the comfort and service superb. highlight on the tls-lhr sector a (£5.50) celebratory treat with mince pie, christmas cake, brandy butter which combined with a g&t hit the spot. you could argue it should be free but i’m not complaining.  i do miss the ba quality of service, but compared to the me airlines you’re still pretty good.",Solo Leisure,Economy Class,London to Glasgow,2019-12-01,no,Boeing 777 - 200
"""This flight was a delight""",9,B Stewart,2019-12-13,"london to san francisco. this flight was a delight. friendly, relaxed crew, good food and wine and a main deck club world cabin that was nearly empty. if you manage your expectations with ba club world and everything goes as it should then you shouldn't be disappointed. yes the rollout of the new club world suite has been a long time coming however the food service has improved considerably - ba are trying valiantly to regain their long gone moniker of ""world's favourite airline"". the 747 has seen better days however given they're being removed from most airline's passenger services, you should take the opportunity to fly one before they're gone. i'm gradually regaining my confidence in ba.",Couple Leisure,Economy Class,London to Sydney via Singapore,2019-11-01,yes,Boeing 777-300
"""utter nightmares""",1,D Jonas,2019-12-04,"london to new york jfk. we were booked on brussels airlines, two of us, which cancelled the flight and rerouted us on ba. the flight bru to london was fine but the transatlantic leg and heathrow airport terminal 5 were utter nightmares. never again will i go to or through heathrow. however, this review is about ba's 747-400 to jfk an aircraft that was in such a sorry state that it should have been junked years ago. how does ba have the gall to call its service ""business class""? the seats were tiny and wrapped in plastic chicken coop partitions that rattled and even fell down on several occasions. let me add that we faced backwards and looked at a filthy wall. cabin service was friendly and the food was actually quite decent. aside from that, i now understand why ba has such a horrendous and well-deserved reputation. never again.",Solo Leisure,Economy Class,London Heathrow to Glasgow,2019-11-01,no,A380
"""Surprisingly good flight""",9,A Maharif,2019-11-19,"doha to london. surprisingly good flight, ontime departure and early arrival by 30min, very very attentive and friendly crew, especially towards children. food was halal since from doha, clearly announced to passengers. bag arrival was ok. seat leg room and entertainment beyond my expectation.",Solo Leisure,Economy Class,London to Boston,2019-11-01,yes,Boeing 777
"""a very friendly and welcoming crew""",9,C Irving,2019-11-12,"tirana to london gatwick. i fly british airways around six times a month thanks to my work, and while i almost always have a pleasant experience, this past flight definitely outdid all the others. we boarded and departed exactly on time, with a very friendly and welcoming crew. while the flight was fully booked, my travel companion and i were lucky that no one was sitting on our row so that we could have an empty middle seat, and therefore more space. the best surprise of this flight by far was the availability of wi-fi which i have never had on any other british airways flight within europe. in fact, the wi-fi package i got which included only texting, was unlimited and incredibly fast - as good as my home connection! this truly made this flight more enjoyable as it allowed me to continue my business even during the flight which is extremely valuable to me. something that british airways can improve on would be leg space, which in this flight i noticed was particularly tight, although that is a common problem for me as i am 1.88 cm tall. also, for unknown reasons, no food or snacks were served on this 2 hours 45 minute flight, only drinks. this was a slight struggle as i had skipped breakfast, but i managed well. the flight however arrived ahead of schedule and we de-boarded quickly. i always recommend ba - and will continue to do so.",Couple Leisure,Business Class,San Jose to London,2019-10-01,no,Boeing 787
"""offering an ultra low cost service""",4,Alan Lyall,2019-10-31,"london heathrow to edinburgh. boarding efficient. flight was full so passengers asked to volunteer to check in hand luggage. by doing so they would get priority boarding. i took up the offer, too out my laptop and carried it on to the plane. the aircraft is only two months old and i was sat at the back of the plane - 36 f. i am sure ryanair have more room. british airways on this aircraft are offering an ultra low cost service under a cloak of legacy carrier legitimacy.",Business,Economy Class,Hyderabad to San Francisco via London,2019-10-01,no,A319
"""seat are surprisingly comfortable""",2,Jean-Claude Liechti,2019-10-25,"vancouver to london. very poor experience my flight with ba. the 2-4-2 business is not nice as much as crowded as economical class. one toilet closed (nobody around to repair ?). on one point ba even better than asian companies. its even more freezing. why do we need to freeze in such a 9 hours trip ? no staff to answer my question. no staff to make it better. one good point, the seat are surprisingly comfortable but easy to make it better.",Couple Leisure,Economy Class,New York JFK to London,2019-10-01,no,Boeing 777
