title,rating,author,date_published,review_text,Type Of Traveller,Seat Type,Route,Date Flown,Recommended,Aircraft
"""cancelled a flight booked three months ago """,1,T Lang,27th July 2021,✅ Trip Verified |  They cancelled a flight I booked three months ago for some operational problem at a time where the prices are off the roof. British Airways could not give me any alternatives other than refund or a voucher.,Solo Leisure,Economy Class,London to Accra,June 2021,yes,A320
"""a thoroughly reassuring, coming out of COVID, experience""",9,David Ellis,30th May 2021,"✅ Trip Verified | After sixteen months of being grounded by COVID, it felt almost surreal to be back in T5, heading for what to us was essential summer sun in Greece. T5 was blissfully quiet, with no queues at check-in or security, and even the Galleries South lounge was less frenetic than usual, despite families with kids similarly desperate to escape Boris Johnson’s bully boy attitude. Ordering food and beverages from one’s table seems something worth continuing, avoiding all the wastage of endlessly replenished buffets. The flights was very quiet, with just 30 pax on board, 9 of whom were in Club Europe. Boarding by row also seemed a welcome improvement on the previous ‘groups’. Service on the flight was good and the food was of the usual Do&Co quality. Landing was ahead of schedule and we were through passport control in just a few minutes after a quick check of vaccination certificates and the passenger locator form. Overall, a thoroughly reassuring, coming out of COVID, experience.",Solo Leisure,Economy Class,Sofia to London Heathrow,December 2020,no,Boeing 737-800
"""She was an amazing person""",10,Raj Quadros,4th February 2021,"✅ Trip Verified |  I had travelled to India for an eye surgery, on my flight back to London Heathrow I was assisted by a member of the cabin crew Madeline Thomas. She was an amazing person as she made sure I was feeling okay as I had come back from my surgery and was traveling by myself. She was more then a nurse and took care of my needs like a mom. She also made sure I had eaten my food and stood by next to me as I was feeling awful because I was in lot of pain",Solo Leisure,Economy Class,London to Venice,October 2020,yes,Boeing 747
"""refunded my tickets within 2 working days""",10,L Roberts,22nd October 2020,"✅ Trip Verified | I am extremely pleased with British Airways as they refunded my tickets Munich-London City-Munich within 2 working days in a friendly and professional manner: the difference between British Airways and Lufthansa is night and day. Friendly, professional and prompt are 3 adjectives to describe BA, while Lufthansa is best summed up as arrogant, impossible to contact and ignorant. Well Done and Best Wishes to all at British Airways.",Solo Leisure,Economy Class,London to Frankfurt,April 2020,no,A320
"""This is appalling business practice!""",1,Ursula Wingate,11th June 2020,"✅ Trip Verified | BA cancelled my flight to Lyon, March/April 2020, because of the Corona crisis. I could not obtain a refund, as the BA website and telephone service made this impossible, it just sent me round in circles. So I opted for a Future Travel Voucher, as this could be obtained via the website. I have now tried to use the voucher for a flight to Munich, and was informed by the website that I have to call BA for this. The Silver card member phone number is inaccessible, as BA has reduced telephone access to one number. I have now called this number five times, each time I was told to call at another time, as 'in these difficult times, they had to protect staff'. This is exactly the same message that I received the many times I called for a refund. Is BA not honouring their voucher system, trying to fob off customers and keep their money? This is appalling business practice!",Couple Leisure,Economy Class,Los Angeles to Paris via London,March 2020,no,A350
"""it definitely lived up to my expectations""",10,Alistair Baker,28th April 2020,"✅ Trip Verified |  London Heathrow to Toronto. My wife and I used Avios and the BA Amex companion voucher to get a very good deal to fly business class on our holiday. I was also excited to fly on an A350 for the first time and it definitely lived up to my expectations. The breakfast buffet in the BA lounge in Heathrow T5 was okay not amazing and there was a good range of drinks and comfortable settees. The aircraft felt very clean and fresh and had good mood lighting, very comfortable spacious seats and large high-resolution IFE screens. I like the moving map but my wife opted for the movies and was impressed with the selection available. We both enjoyed the food and wines on board and it was a professional and friendly service from the cabin crew. The A350 is a lot quieter than older aircraft like the 747 and 777.",Solo Leisure,Business Class,Nashville to London via Chicago,March 2020,no,Boeing 747
"""understand the turmoil caused by Covid-19""",1,K Schale,1st April 2020,"✅ Trip Verified |  I flew to Vancouver mid March to see my mother, then in hospital. Three days after arrival my mother passed away and I subsequently needed tochange my return flight to be able to attend her funeral. I tried to manage my booking online, as BA suggest. But, because I had bought a package that included car hire the BA site said I was unable to change this online and I had to call their customer services. I spent over 19 hours hanging on a telephone trying to call the numbers listed online.  I set up conversations Facebook and Twitter, they went unanswered. On the second day of my telephone ordeal I actually called a different number and spoke to a guy in ‘holidays’ who said he couldn’t help me either but that he would try and add me to the queue for the help line. When this was finally answered after another hour and a half of waiting I managed to blurt out my Ref number, nothing else… before that call was disconnected. Thankfully the one person I had briefly spoken to in the Duty office that night then emailed me back and I was able to have a conversation about my need to change flight. This change took about 10-15 minutes over a few emails. But the person helping me couldn’t extend the car hire because the vehicle had already been collected. The only way this could be managed would be by myself calling the car hire company. But two days previously, when I tried to manage my booking online I was told I couldn’t do this because I had bought a package and that this could only be done by BA. I do totally understand the turmoil caused by Covid-19, but never again BA.",Business,Economy Class,Frankfurt to Buenos Aires via London,October 2019,no,Boeing 747-400
"""live in a conceited bubble""",2,David Parsons,13th March 2020,"✅ Trip Verified |  London to Paris return group booking cancelled. I know the current coronavirus is causing problems for any airline, but BA appears as usual to have no contingency plans to handle extra number of enquiries and it is proving impossible to speak with them. After the constant IT debacles this airline has, surely it is time for heads at the top to roll? Cancelled my booking for flight refund online, but they do not return the seat booking fee and you have to do this afterwards. However, the manage booking page wipes all preferences to your booked seat numbers and you cannot complete the form without this information. A 5 year old child could improve upon the user unfriendly app and website that BA currently has, and my patience of being loyal to BA (for over 40 years I might add) has run out. The management of this airline appear to live in a conceited bubble and have no idea what is going on at the front line.",Solo Leisure,Premium Economy,Vancouver to London,February 2020,yes,Boeing 747-400
British Airways customer review,3,Joe Merieux,27th February 2020,"✅ Trip Verified |  I am flying London to Seattle in Business Class in May 2020, and British Airways wants around £100 each way for me to choose seats. All other airlines I have encountered allow Business Class passengers to choose seats at no additional cost. They decided to change my seat ""for operational reasons""s. What could that reason be? The plane is the same. So, BA takes £100 off me for me so that I can choose my seat and then changes my seat - without asking me. What I get is an automated message (the next time I log on to the BA website) to tell me. There is a number I can ring, 40 minutes waiting for the phone to be answered and I give up.",Solo Leisure,Business Class,London Heathrow to Sofia,October 2019,yes,A321
"""Arriving late to board""",1,Vahid Etemadmoghadam,2nd February 2020,"✅ Trip Verified |  I was to fly to Melbourne from Manchester via London and Singapore in July 2019. Arriving late to board my Heathrow flight, the Check-In-Staff discussed my dilemma with her supervisor. Only option being to find my way to Heathrow. I somehow managed to get to Heathrow in time where only the Singapore to Melbourne Boarding Pass was issued. I was told that because Manchester to Heathrow flight was missed, my Heathrow to Singapore was cancelled.",Solo Leisure,Economy Class,London Heathrow to Bangkok,January 2020,no,Boeing 777-200
"""the service was good""",6,Ishan Pai,25th January 2020,"✅ Trip Verified |  Mumbai to Boston via London. My flight with British airways was really good. The catering was excellent on both flights and even the service was good. However, some of the seats have very limited legroom due to the IFE box blocking space in front of you. Also, BA had misplaced my tennis racket which was checked in. They have a really weird policy that you can't carry your single sports equipment as cabin baggage and instead, you have to check it in. The ground staff was rude at Logan Airport in Boston. Also, they took a week to deliver my racket to my house even though it arrived in Boston 24 hrs after I had come. Even after contacting BA'S Baggage Customer Service, they were speaking rudely to me. They always tried to cut my call in like 2 minutes without even listening to my concern. British Airways needs to improve their ground experience.",Couple Leisure,Business Class,Johannesburg to Cape Town,January 2020,yes,Boeing 737-800
"""offer a kids free zone""",2,JM Dixte,17th January 2020,"✅ Trip Verified |  London to Bangkok. It's not what it used to be but most importantly, it does not deliver what it promises any longer.  Disappointing food, outdated and uncomfortable seats, appalling baggage handling at LHR, and  mediocre crew service onboard. The customer service online is just as bad. My most recent experience was early January 2020 when they put me next to a couple with a newborn baby in Club World on an overnight flight from LHR to BKK. Baby screams, could not sleep and as the cabin was full, they could not move me. The couple was very nice, apologetic and we just had to bear the 12 hours long haul flight together. However, my dealings with customer service was appalling. When is BA going to offer a kids free zone in Club World for people who need to work or sleep?",Couple Leisure,Economy Class,London Heathrow to Vancouver,January 2020,no,A320
"""staff were incredibly rude and lazy""",3,P Johnsdon,7th January 2020,✅ Trip Verified | My partner and I spent Christmas in Tokyo. The flight over was enjoyable the staff were polite and helpful and it all ran smoothly. Our experience back home was completely different. The staff were incredibly rude and lazy. The flight was 12 hours and mid flight my partner asked for a bottle of water. The lady very rudely said she was going the other way and that my partner could head to the back and help herself. My partner headed to the back where there were two more ladies sitting and when requested they pointed to a shelf my partner got the water from. Both our TV's stopped working mid flight also for a period of 40 minutes. We asked the staff if they could fix the problem. The lady said she would try while sighing. As 25 year olds deciding on which airline brands to remain loyal to I can tell you British Airways will not be it. Terrible customer service.,Solo Leisure,Economy Class,Cape Town to Brussels via London,December 2019,yes,A320
"""comfort and service superb""",9,Phil McConnell,27th December 2019,"Not Verified |  Sydney to Toulouse via Singapore / London. Boeing 777 and IFE ancient, the comfort and service superb. Highlight on the TLS-LHR sector a (£5.50) celebratory treat with mince pie, christmas cake, brandy butter which combined with a G&T hit the spot. You could argue it should be free but I’m not complaining.  I do miss the BA quality of service, but compared to the ME airlines you’re still pretty good.",Solo Leisure,Economy Class,London to Glasgow,December 2019,no,Boeing 777 - 200
"""This flight was a delight""",9,B Stewart,13th December 2019,"✅ Trip Verified | London to San Francisco. This flight was a delight. Friendly, relaxed crew, good food and wine and a main deck Club World cabin that was nearly empty. If you manage your expectations with BA Club World and everything goes as it should then you shouldn't be disappointed. Yes the rollout of the new Club World Suite has been a long time coming however the food service has improved considerably - BA are trying valiantly to regain their long gone moniker of ""World's Favourite Airline"". The 747 has seen better days however given they're being removed from most airline's passenger services, you should take the opportunity to fly one before they're gone. I'm gradually regaining my confidence in BA.",Couple Leisure,Economy Class,London to Sydney via Singapore,November 2019,yes,Boeing 777-300
"""utter nightmares""",1,D Jonas,4th December 2019,"✅ Trip Verified | London to New York JFK. We were booked on Brussels Airlines, two of us, which cancelled the flight and rerouted us on BA. The flight BRU to London was fine but the transatlantic leg and Heathrow Airport Terminal 5 were utter nightmares. Never again will I go to or through Heathrow. However, this review is about BA's 747-400 to JFK an aircraft that was in such a sorry state that it should have been junked years ago. How does BA have the gall to call its service ""business class""? The seats were tiny and wrapped in plastic chicken coop partitions that rattled and even fell down on several occasions. Let me add that we faced backwards and looked at a filthy wall. Cabin service was friendly and the food was actually quite decent. Aside from that, I now understand why BA has such a horrendous and well-deserved reputation. Never again.",Solo Leisure,Economy Class,London Heathrow to Glasgow,November 2019,no,A380
"""Surprisingly good flight""",9,A Maharif,19th November 2019,"✅ Trip Verified |  Doha to London. Surprisingly good flight, ontime departure and early arrival by 30min, very very attentive and friendly crew, especially towards children. Food was halal since from Doha, clearly announced to passengers. Bag arrival was ok. Seat leg room and entertainment beyond my expectation.",Solo Leisure,Economy Class,London to Boston,November 2019,yes,Boeing 777
"""a very friendly and welcoming crew""",9,C Irving,12th November 2019,"✅ Trip Verified | Tirana to London Gatwick. I fly British Airways around six times a month thanks to my work, and while I almost always have a pleasant experience, this past flight definitely outdid all the others. We boarded and departed exactly on time, with a very friendly and welcoming crew. While the flight was fully booked, my travel companion and I were lucky that no one was sitting on our row so that we could have an empty middle seat, and therefore more space. The best surprise of this flight by far was the availability of Wi-Fi which I have never had on any other British Airways flight within Europe. In fact, the Wi-Fi package I got which included only texting, was unlimited and incredibly fast - as good as my home connection! This truly made this flight more enjoyable as it allowed me to continue my business even during the flight which is extremely valuable to me. Something that British Airways can improve on would be leg space, which in this flight I noticed was particularly tight, although that is a common problem for me as I am 1.88 cm tall. Also, for unknown reasons, no food or snacks were served on this 2 hours 45 minute flight, only drinks. This was a slight struggle as I had skipped breakfast, but I managed well. The flight however arrived ahead of schedule and we de-boarded quickly. I always recommend BA - and will continue to do so.",Couple Leisure,Business Class,San Jose to London,October 2019,no,Boeing 787
"""offering an ultra low cost service""",4,Alan Lyall,31st October 2019,"✅ Trip Verified | London Heathrow to Edinburgh. Boarding efficient. Flight was full so passengers asked to volunteer to check in hand luggage. By doing so they would get priority boarding. I took up the offer, too out my laptop and carried it on to the plane. The aircraft is only two months old and I was sat at the back of the plane - 36 F. I am sure Ryanair have more room. British Airways on this aircraft are offering an ultra low cost service under a cloak of legacy carrier legitimacy.",Business,Economy Class,Hyderabad to San Francisco via London,October 2019,no,A319
"""seat are surprisingly comfortable""",2,Jean-Claude Liechti,25th October 2019,"✅ Trip Verified |  Vancouver to London. Very poor experience my flight with BA. the 2-4-2 business is not nice as much as crowded as economical class. One toilet closed (nobody around to repair ?). on one point BA even better than asian companies. its even more freezing. why do we need to freeze in such a 9 hours trip ? no staff to answer my question. no staff to make it better. one good point, the seat are surprisingly comfortable but easy to make it better.",Couple Leisure,Economy Class,New York JFK to London,October 2019,no,Boeing 777
"""Seats were uncomfortable""",2,C Jordan,15th October 2019,"✅ Trip Verified |  Buenos Aires to London Heathrow rwturn. The aircraft is very old, cabin configuration is very old and tired. IFE screens have not been changed since they were first installed. My Ipod has a larger and more responsive screen. Before taking off in Buenos Aires, some pax, but not all, were offered water or orange juice. I never got any. After take off, drinks were offered, followed by a hot meal. Food choices ran out in the first row. Seats were uncomfortable, footrests were jammed. On the return flight, sparkling wine and water were offered before take off, followed by drinks and the meal I had chosen online was a beef stew with mashed potatoes. Poor movie choices, miniature screen and uncomfortable seats. Crew OK. No indication as to which toilets to use, either forward in business class or rear economy. Having flown Norwegian on their B787 in their premium cabin on the same route, BA is a waste of my money.",Business,Economy Class,London to Athens,October 2019,no,A320
"""seats on the flight were comfortable""",8,D Wheeler,8th October 2019,Not Verified |  Short 45 minute flight north and south with British Airways. Lounge at LHR and also NCL was busy but there was no shortage of seats. Gates for departures and arrivals were very conveniently placed near the airport exits. The seats on the flight were comfortable and the schedule was perfectly on time.,Couple Leisure,Economy Class,Gatwick to Alicante,September 2019,no,A380
"""staff wonderful. cheerful, efficient""",10,Rosemary Prescott,28th September 2019,"Not Verified | We have had some torrid experiences with BA - which we have not been shy to report. So when we flew yesterday with them from Heathrow to Austin and had a great flight in every way, it felt right to feedback on that. The staff in the upstairs business class cabin were, frankly, wonderful. Cheerful, efficient and calm. What more could you ask? The food was pretty nice and the champagne lovely. The beds were very comfortable and sleeping was easy. I literally cannot think of any real negatives. The luggage lockers were quite small but then it’s an older model of the plane so that probably explains it. If only BA could deliver this kind of experience on every occasion, they would once again be the “world’s favourite airline’. Sadly, the current CEO doesn’t seem able to inspire and motivate his staff to be consistently delightful. Perhaps once he moves on we can expect something better. Although the flight was a bit delayed on departure it arrives bang on time. As we entered the (literally empty) immigration area, we were met by the most charming customs officer you can imagine, who ended up giving us tourist tips and ideas for bars! Surreal, as anyone who regularly travels to the States, will testify! It felt as if we were living in the Truman Show at one point but in the nicest possible way. Get yourselves down to good ole Austin now that BA fly there direct. Fantastic.",Couple Leisure,Business Class,Los Angeles to Istanbul via London,September 2019,no,EMB190
"""a nightmare""",5,Orna Kaplan,17th September 2019,✅ Trip Verified | Phoenix to Tel Aviv via London. The return from London to Phoenix was a nightmare. I want everyone to know that I sent a complaint 3 times but there is no one to talk to. This is not something that I am used to.,Family Leisure,Business Class,Orlando to Gatwick,July 2019,no,A319
"""welcome wasn’t especially friendly""",3,K Pellberg,10th September 2019,"✅ Trip Verified | Mahe to Stockholm via London. Checked in online before the flight but had to do the bag drop. Was met by a rude lady at First class check in and the process took about 20 minutes, don’t know why, no apology. The boarding was in time. The welcome wasn’t especially friendly, just pointing the direction where to go. The club Europe cabin felt claustrophobic, I had a window seat. The CSM never came to say hello. The service was pretty basic, ok during the meals but self service between. No drink service if you didn’t ask. On the flight to Stockholm the purser introduced himself to all emerald members. The service was limited due to the strike next day but friendly. The seating was terrible on this A320, so tight.",Solo Leisure,Economy Class,Edinburgh to Kuala Lumpur via London,July 2019,yes,A380
"""feel worthless as a customer""",1,N Trabolini,28th August 2019,"✅ Trip Verified |  I was supposed to fly from London City to Amsterdam on 24/7, Business Class. Once at LCY, my early pm flight appeared as cancelled. A state of confusion broke out at the airport, with people trying to find alternatives, however I managed to be rebooked on a later flight. On a busy day, I waited for hours at the airport. The new flight was displayed as “delayed” for 45mins. the delay kept on increasing, with the flight ultimately scheduled to depart after 10pm. I kept on waiting. The flight eventually ended up cancelled as well. Result: half a day wasted at LCY. I feel that BA’s punctuality and quality of customer service have been declining significantly lately. Delays and cancellations can happen, however I have been flying BA +/- 30 times a year and the % of flights delayed has been abnormally high lately, especially to/from Amsterdam and Germany. Also, the customer service seems to have a “minimum care” proposition (provide what is strictly required by the law, only if customers complain, taking as long as possible), that genuinely makes you feel worthless as a customer, whether you are a frequent flyer or not.",Family Leisure,Business Class,Toronto to Pisa London Heathrow,August 2019,yes,"A340-300, A320"
"""crew were welcoming and informative""",9,T Jackson,21st August 2019,"✅ Trip Verified | A very good service on board this flight with British Airways from LHR to VCE. Although the flight was about 30 minutes delayed due to an aircraft change from an Airbus A319 to and Airbus A320, we arrived only slightly behind the scheduled arrival time. The crew were welcoming and informative and the plane was very clean (probably because the plane was relatively new). The seat was not too bad either with quite good leg room. One small issue that I could raise is that there was no complimentary food and beverage on board, you had to pay or use Avios (it isn't that bad as it was only to Europe). An overall very good experience on board this flight.",Couple Leisure,Business Class,Sydney to Singapore,August 2019,no,A321
"""Utterly appalling""",1,H Lind,9th August 2019,"✅ Trip Verified |  London Heathrow to Inverness. Having previously written a review about the shockingly appalling experience with BA so far this summer, I felt the need to update with a new review as the final flight home I was rebooked on - after short-notice cancellation, which I had to wait over a day for - was also  cancelled due to a fault with the aircraft. We were sat on the plane for over an hour whilst the crew were waiting to hear from ground crew what was happening and where to go. Eventually got off the plane to utter chaos - mixed messages being given by ground crew. Some people given details about rebooking, others given nothing. Some people were sent texts with rebooking options, others (including me) received nothing. Vouchers handed out for hotel accommodation and shuttle bus to and from the hotels - however some people were only given one bus voucher, meaning they had no means to return to the airport the next day! Some people rebooked on a flight in two days time and told they’d have to return to the airport the next morning anyway to get any further refreshment or accommodation vouchers. Utterly appalling. Now I’m hoping against hope I might make it home today, 3 days after setting off!",Family Leisure,Economy Class,London Heathrow to Sofia,July 2019,yes,A321-200
"""due to the delay I had to miss it""",1,A Almasha,2nd August 2019,"✅ Trip Verified |  Nice to Kuwait via London. My flight from Nice was delayed in the plane for 2 hours and in delayed in Heathrow for 5 hours. When we finally left the plane, there were no information on how I get another connecting flight since due to the delay I had to miss it. Then I had to pass through immigration which lasted for 2 hours. There was no one at the desk just a piece of paper with a number that says for complaints call us. Now it was 3am with no one to speak too and I still don't have my bags. I had to grab a taxi to sleep (BA didn't not provide a hotel stay). I I then had to leave the apartment at 7 am to get to the next flight with Kuwait Airways.",Family Leisure,Economy Class,Johannesburg OR Tambo to Cape Town,July 2019,yes,Boeing 737-800
"""seat comfort has been sacrificed""",5,David Worten,28th July 2019,"✅ Trip Verified |  Grenada to Gatwick. Having flown with BA on this aircraft type prior to refurbishment, I was intrigued to experience the changes to the cabin. The cabin was much smarter - previous aircraft have looked very tired and the lighting was pleasant. The entertainment system was hugely improved, with a good selection of media on larger touch screen devices. I suppose the reason I appreciated this was because the old systems were so hopelessly outdated! But the family really found them entertaining. For me the real issue was the tight leg room - I am a slim 6ft 2'' and now the lack of seat width made it almost impossible to eat a meal! It was for me very tight. Previously the seat format was 3-3-3. It is now 3-4-3. We were sat in the 4 outbound although on return, we sat near the back of economy where the aircraft narrows and seats become 2-4-2. We sat in a 2, which was more bearable. I also found the seat really hard after a couple of hours although sitting on the supplied back rest cushion helped a bit! Despite best efforts to sleep, I failed..... I remember the old seats being more comfortable, especially for long haul. Service was professional and timely and food was similar to previous flights - edible. In summary, it seems a shame that BA have improved some aspects of the experience, but seat comfort has been sacrificed, which is a great pity.",Couple Leisure,Business Class,Lisbon to London,July 2019,no,A320
"""changed to late evening arrival""",1,Peter Meikle,12th July 2019,"✅ Trip Verified | Heathrow to Marseille. Within a few days of booking a flight for December, BA advised flight has been changed to late evening arrival. This is unacceptable so I opt to cancel and full refund. BA then says it is refunding the fare and makes no mention of the fee I have paid for seat selection. I have found a claim form for refund of these fees, on submission they say they will take up to 28 days to think about it.",Business,Economy Class,Madrid to London Heathrow,June 2019,no,A321
"""went above and beyond for me""",10,Georgia Hoddinott,1st July 2019,"✅ Trip Verified | BA762 Heathrow to Oslo I have flown with BA a few times in the last few months, I have came off medication which makes me more nervous flying on planes, I had notified the cabin crew and they were honestly so amazing and went above and beyond for me. They had gave me a free bottle of water, kept asking if I was okay, put their arm around me, made me feel so much better. The flight was super smooth and overall an amazing service. Thanks again BA and I will be flying again with you soon!",Solo Leisure,Economy Class,Amsterdam to London,February 2019,no,A320
"""the cabin crew were great""",5,Ally Wharton,22nd June 2019,"✅ Trip Verified |  Istanbul to London. My first flight in Economy is the new A321 Neo, The aircraft is set up with the first 15 rows of regular seats and the remaining 17 rows of the new extra slim economy seats. The seat does not recline, is very thin and OK for an hour flight. However 3 hours 45 minutes flight it became pretty uncomfortable after 2 hours. The 5 members of the cabin crew were great serving the usual MS for sale products.",Solo Leisure,Economy Class,Tel Aviv to New York via London,June 2019,no,Boeing 777 / 747
"""I might fly them again""",5,T Reid,7th June 2019,"✅ Trip Verified |  Belfast City to Atlanta via London Heathrow T5. Check-in was fairly smooth at Belfast as it was early in the morning. However, when the agent called me over the check me in, he was all flustered that I wasn't an elite Executive Club member although my boyfriend had just checked in with the same agent without any difficulty. I knew he was working the premium line, but nobody was standing in it, and I was standing in the regular line when he called me. After about 20 minutes, I finally got a boarding pass to go through security. The flight from BHD to LHR was uneventful and bare-bones, as nothing was served for free on the flight. My boyfriend therefore hated it, as we're used to getting better service on American in the US, but I was fully aware that BA had turned itself into a glorified EasyJet. Once we arrived to LHR, I continued by myself to Atlanta on BA and was shocked at the crowded, user-unfriendly T5. Although I suppose it was pretty in some ways, I had to sit in one of the dank cattle pits they hold people in until their flight is called, so it felt very crowded and hot. After my flight was called, I found myself on a crowded shuttle to the plane with pushy people. Boarding was straightforward, however, and the flight attendants were very polite and helpful to customers, even in economy. The flight product was just OK in my view. I had an exit row aisle seat, and while I had extra room and a nice headrest, the seat was right by the lav, so it stank. IFE was fine with a decent selection, but it was not as complete as Delta's. The food was the bland equivalent of what Delta serves, so no brownie points there, and the ""tea"" service they had was terrible: we were given half-sandwiches in plastic wrap without a tray and then only with a limited selection of beverages. I remember years ago when BA was a premium carrier and served very nice things to its passengers with a friendly smile. Those smiles have disappeared for the most part, and the feeling of flying a special carrier is no longer there. However, I arrived on time and promptly got my bag. The 777 was also nice and spacious and the flight attendants were polite, so I might fly them again, though I would not recommend BA due to the crowds and discomfort I experienced at T5.",Couple Leisure,Economy Class,London Heathrow to Dubai,May 2019,no,B747-400 in retro
"""service went from good to superb""",10,Susan Holder,30th May 2019,"Not Verified |  London to Seattle. My husband and I have used this service for a number of years as our son lives in America. We have always been very satisfied with the service. Unfortunately I was taken ill on this flight and the service went from good to superb! I’d like to thank the cabin crew and Captain for the care I received during the last two hours of the flight. Advice was sought via radio, I was made comfortable in the galley, at least one crew member with me at all times, given oxygen etc. paramedic boarded the plane and escorted me off when I was then given a thorough medical check, a wheel chair was waiting and we were fast tracked through customs as I was not well enough to walk to the car park. We met the crew at the lift and the captain came to ask how I was. Many thanks to all of the and apologies to passengers that I must have disturbed.",Solo Leisure,Business Class,Heathrow to Singapore,May 2019,no,Boeing 777-200
"""an hour or so to drop off luggage""",3,Michael van Eimeren,23rd May 2019,"✅ Trip Verified |  Flight was OK, minor delay didn't both me. What was astonishing is that we had to wait an hour or so to drop off our luggage because at Lyon Airport they were training new ground staff at the same time? They continued doing this even though the cue became pretty huge and time started to run out to make it to the flight.",Business,Business Class,Gatwick to Dubrovnik,May 2019,no,A319
"""was very disappointed""",1,B Liddle,11th May 2019,"✅ Trip Verified |  I paid an extra £500 for two Premium economy seats on this long haul flight and was very disappointed. The seat felt small and was shabby, the tv screen was small and very dark. I tried to adjust it but it was still unwatchable. The whole experience was very poor, not Premium in any way. The return flight was a code share with Japan Airines which was Premium, a whole different experience. I would be happy to pay for their Premium seats. I would advise avoid British Airways Premium economy as it is far from Premium. I felt a complete waste of £500.",Couple Leisure,Economy Class,Bucharest to London,April 2019,no,Boeing 777-200
"""impeccable, attentive and delightful""",10,Susan Peal,1st May 2019,"✅ Trip Verified |  London to Calgary. Thank you to James, a Club World flight attendant on BA 0103 April 15, 2019. His service was impeccable, attentive and delightful. I thoroughly enjoyed the flight.",Business,Business Class,London to Seattle,April 2019,no,Boeing 747-400
"""Flight was good""",10,E Smyth,18th April 2019,"✅ Trip Verified |  London to Gibraltar. Check in at T3 was fine, lounge was good and staff were more proactive than was previously the case. Flight was good with decent lunch served including the kids meals which were fine. Skilled landing in Gibraltar- a good flight",Couple Leisure,Economy Class,St Lucia to Gatwick,April 2019,no,777
"""had to have a middle seat""",1,H Bayley,10th April 2019,"✅ Trip Verified |  Chicago to London. Cancelled flights just a few hours before I left home, then put me on a different flight which would have made it impossible to make my connecting flight. Was finally put on a different flight. On the way home, because my first flight was through American Airlines, and the second through British Airways (all in the same booking), I was only able to check in and get a seat on the American Airlines flight, as I was redirected every time to their website. Couldn’t check in for the British Airways flight so had to have a middle seat which is very uncomfortable. I always check in 24 hours before to guarantee a seat, but BA wouldn’t allow me to do this.",Business,First Class,London to Chicago,March 2019,no,Boeing 777
"""my question never answered""",6,Steven Fickle,19th March 2019,✅ Trip Verified |  Leeds Bradford to Las Vegas via Heathrow. Customer services handling of my question never answered it. Three times I asked them to explain why the cost of my one checked bag caused the fare to increase over £100 on the outbound flight. This was before any increase other than the increase announced for the short LBA LHR fare. I asked why the fare was so much when I could have booked a seat for the bag for about £50. The response was we are doing what everyone else is doing. They never could explain why the fare increased by over £100 when I indicated one checked bag. I asked to speak with someone but that was never responded to. Book LHR LAS at that time and one bag included. Customer service apparently did not understand what I was asking because the answer provided was non-responsive.,Couple Leisure,Economy Class,Tampa to Gatwick,March 2019,no,Boeing 777
"""service is of good quality""",10,B Roberts,9th March 2019,"✅ Trip Verified | London Heathrow to Madrid. I travel from LHR regularly. British Airways have proved to be reliable and their service is of good quality. As a frequent traveler, I've been able to use the priority boarding and also managed to get exit row seats. This airline is very good with providing tangible benefits to silver members. The lounge at Heathrow Terminal 5 is also very good and provides a good selection of food and refreshments. The bar is very well stocked and also a good selection of soft drinks available. I'm very happy with the airline service and would definitely recommend British Airways. Keep it up guys.",Business,Business Class,Chicago to London Heathrow,February 2019,no,B747-400
"""twenty years out of date""",1,D Gold,26th February 2019,"✅ Trip Verified |  London to Chicago. Could it get any worse? The flight to Chicago was equipped with the usual ancient Boeing 747-400. The British Airways First Class product doesn't come up to modern Business Class standards. This particular flight was late again, and the food / wine was simply awful. There is nothing remotely elegant about BA First Class, and the crew demonstrate no sophistication. This experience was like dining at your worst restaurant chain. Finally, not only is the aircraft tired and worn out, but the in flight so-called entertainment system did not work, and had to be rebooted twice. The First Class seat is a bad joke, and extraordinarily uncomfortable. British Airways are at least twenty years out of date with their entire First Class product. All that can be said about this airline is woeful. The Concorde First Class lounge at Heathrow is filthy dirty, and desperately needs refurbishment.",Business,Business Class,Gatwick to St Lucia,February 2019,yes,Boeing 777
"""crew were very friendly""",10,Anojan Sanmugarasah,18th February 2019,✅ Trip Verified |  London to Chennai. It was amazing. The crew were very friendly. The food was amazing and the seats were comfortable. T was overall an amazing flight and I enjoyed it thoroughly.,Solo Leisure,Economy Class,London to Billund,February 2019,yes,Boeing 777
"""Online Check-in did not work""",2,S Carinsky,4th February 2019,"✅ Trip Verified |  San Diego to Frankfurt via London. It all started when trying to check in online 24h before departure from San Diego to Heathrow. On long flights like this I always reserve an aisle seat. Online Check-in did not work, no reason was given. Ok, let’s call US hotline. I tried at least 40 times. Answers were either, that call could not be completed, check number or due to heavy call volume they could not process call right now. I did not make it through. As an act of desperation I today called a British number. The lady told me guess what: no more aisle seats available. Some other numbers I tried were available on weekdays only, good to know if you need help on a Sunday. So I‘ve got the strong feeling, that they do not even care about there customers. B On my flight to San Diego 5 days ago, my TV screen was gone and there was no way to change seats. Great overall experience.",Couple Leisure,Economy Class,New York to London via Geneva,January 2019,no,Boeing 777
